"ResponseId","RecordedDate","Q3.2_7_TEXT","Q3.3_4_TEXT","Q3.5_1_TEXT","Q4.1_5_TEXT","Q4.6_8_TEXT","Q4.7_9_TEXT","Q4.8_2_TEXT","Q6.1_8_TEXT","Q6.3_5_TEXT","Q6.4_5_TEXT","Q6.6_5_TEXT","Q6.7_6_TEXT"
"R_2tyzvtyKkz2fspa","2020-06-23 22:59:27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3gSCdYVd6yOtzBI","2020-06-23 23:50:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3hELpCwCf8HKtg8","2020-06-24 00:27:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2t3SblvhKAKLB7S","2020-06-24 00:41:58",NA,NA,"database","Indonesia",NA,NA,NA,NA,NA,NA,NA,NA
"R_3hsTRtJJiRZqPvy","2020-06-24 02:22:47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3qCAACo8PeMBC1h","2020-06-24 03:46:48",NA,NA,NA,"JST",NA,NA,"CHI Japan",NA,NA,NA,NA,NA
"R_33DtvqDxaYIYZPh","2020-06-24 07:54:45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3ffMJg4BfBVBztB","2020-06-24 18:01:03",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3QJdeIwsgsUzRKh","2020-06-24 22:38:02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_D03VQFbaIVAIGcx","2020-06-25 05:44:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2dBdepDGmxSQHXJ","2020-06-25 15:01:57",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1JV2Re7UKDP76ee","2020-06-25 18:39:29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1d9UKq7A761MPxz","2020-06-25 18:42:56",NA,NA,NA,"GMT +8 (Indonesia)",NA,NA,NA,NA,NA,NA,NA,NA
"R_3PoEJ8S2ts2DLYC","2020-06-25 18:43:56",NA,NA,NA,NA,NA,"I am not able to travel to US due to travel ban and my citizenship (IRAN)","OZCHI",NA,NA,NA,NA,NA
"R_2SudsgYCVLPi2Ye","2020-06-25 18:49:07",NA,NA,NA,NA,NA,NA,NA,"Limited social cues in Zoom sessions for non-conference related social interaction. There was a \"barrier\" between myself and other persons. It is difficult to explain the logic behind this but my only suggestion is that social cues in zoom differs from face to face interaction. For the conference itself, no issues existed.",NA,NA,NA,NA
"R_2WHECBKFMg2Ydzn","2020-06-25 19:10:22",NA,NA,NA,"SGT",NA,NA,NA,NA,NA,"have other things to work on",NA,NA
"R_27NECkRimQGTxuo","2020-06-25 19:20:06",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3q8dwrsEb1dp6Hy","2020-06-25 19:41:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_ac0uImKNA4Z64rT","2020-06-25 20:43:50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_24vIHdXF0Z6UNRO","2020-06-25 20:52:08",NA,NA,NA,"UTC+8 (Shanghai)",NA,NA,"Japan, Cambridge MA, Germany",NA,NA,NA,NA,NA
"R_2e8MkJNQchTfWxi","2020-06-25 21:30:39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_TcjoFkd57jYtKgx","2020-06-25 21:34:41",NA,NA,NA,NA,NA,NA,NA,"Didn’t have time for posters","Just trying to see if I was able to join the room for Jazz Music",NA,NA,NA
"R_2YzTVNgy3HvtCV2","2020-06-25 23:09:33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3M51HcQP0DoSdA8","2020-06-25 23:37:09",NA,NA,NA,NA,NA,NA,"MIT Fabrication session",NA,NA,NA,NA,NA
"R_3n8YPG3t8qXD5U8","2020-06-26 00:13:40",NA,NA,NA,NA,"I really enjoyed the local event, though I would have enjoyed presenting in Hawaii. Maybe for the future a pre-conference with the local community would be great.",NA,"I attended a remote CHI workshop",NA,NA,NA,NA,NA
"R_3szT8o0a5Qm9pMl","2020-06-26 00:23:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2ONhH634afHu7rc","2020-06-26 04:13:48",NA,NA,NA,"IST",NA,NA,NA,"schedules were quick, so had to go visit the other paper presentation",NA,NA,NA,NA
"R_3RaPBMpkWhgOKlO","2020-06-26 05:46:40",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_cCOKABSKYYG4Yal","2020-06-26 22:52:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_TbYBujaPPtCufWp","2020-06-27 04:23:37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2TBDMVmGB6b6WvA","2020-06-27 05:05:29",NA,NA,NA,NA,NA,NA,NA,"I could not hear anything in Mozilla Hubs.",NA,NA,NA,NA
"R_1g53zFGtXYuAul4","2020-06-27 15:40:38","Professional Staff at Uni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2c1MhnqfcVlS7w4","2020-06-27 17:48:29",NA,"freelance",NA,NA,NA,NA,NA,NA,NA,NA,"panel members",NA
"R_2ZP35YiyXXTNtBC","2020-06-27 18:43:41",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prior commitments in the real world",NA,NA
"R_2rrzcsQCVRmow5b","2020-06-28 04:51:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_DRX5wLY0EQcAhW1","2020-06-28 18:04:04",NA,NA,NA,NA,NA,NA,"Immersive Analytics Workshop",NA,NA,NA,NA,NA
"R_DUczAfUWo5z09bj","2020-06-28 18:26:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I wanted to visit the poster exhibition.",NA,NA
"R_3ke8fTbRyY998MX","2020-06-30 10:04:30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1iswDuGaVg2XV1G","2020-06-30 11:22:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_sHeChB67fwR4Dqp","2020-07-02 05:53:20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_5iqgKUTCbcdnzHz","2020-07-02 18:31:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2qlbI3zlYJIh1mC","2020-07-02 18:31:59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3KPeO8MfMLRAwZS","2020-07-02 18:56:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2uWJSbdfJVJaarv","2020-07-02 19:02:22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1LA9fT7g0W1Uw91","2020-07-02 20:01:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_x6sah5gZGtZjKlb","2020-07-02 20:44:53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2yrTCpwJSofYOhk","2020-07-02 21:15:39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1A2Y9lAszCr35Ad","2020-07-02 22:17:38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1MMQgZ7esRKiFXO","2020-07-03 01:06:58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2f7exQbDP90vZbP","2020-07-03 03:44:08",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1g873n3EMEzXBXd","2020-07-03 10:19:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2pRBPM222egb2qw","2020-07-03 14:58:55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_2xWQ4pak1SuxNHN","2020-07-03 22:36:13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3oyJ2zxMyBu81bh","2020-07-06 08:27:48",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_db4UNXfm49F6g3T","2020-07-06 17:39:05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_1K7QuphlKRimLBw","2020-07-06 17:39:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R_3g6OK6jQjN8OOaV","2020-07-06 17:39:07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
